acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date,engagement_score
2MWS8MP477MQFT09,GB,2022,4,12,52,0,0,1,0,0,5,1,0,0,2,3,0,0,0,3,0,0,3,3,1,2,0,2024-03-04,24
1H5USRNIYSI57CN3,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,2024-03-04,12
QOZ9K0T1A24F60G4,GB,2022,4,11,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
KTCTDT8X6IKNMPPU,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
5I31M35FU1W541CW,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,5,6,2,0,0,2024-03-04,21
3N3GKZ8RVKF3ZJ8D,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,4
516PABAEDMA4V7HT,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,9,8,1,0,4,2024-03-04,44
TSO2DI40ELU7555P,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,2
7IQE09X0PGM6HGV6,GB,2022,4,10,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,4,6,4,0,0,2024-03-04,22
VL1ZIFMA6386YZ67,GB,2022,4,12,52,2,0,0,0,0,2,0,0,0,2,4,0,0,0,6,0,0,4,4,4,2,0,2024-03-04,30
6S3NL4SFMA944ONU,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
HIL9OVZLGAJG99LE,GB,2022,4,11,47,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2024-03-04,5
COR4RKJLSWTSPVXV,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,2,2024-03-04,20
