sports_category_descr,predicted_interaction,acid
ORIGINALS,0.9999999963125484,0GH9QR6OBZ1UXEK6
HANDBALL,6.040606899536069e-05,0GH9QR6OBZ1UXEK6
BASKETBALL,6.279302918842444e-09,0GH9QR6OBZ1UXEK6
HIKING,5.698249110312082e-09,0GH9QR6OBZ1UXEK6
SWIM,1.3430390534149637e-09,0GH9QR6OBZ1UXEK6
ORIGINALS,0.9999999963125484,0OKVYEVFB55H0SC1
HANDBALL,6.040606899536069e-05,0OKVYEVFB55H0SC1
BASKETBALL,6.279302918842444e-09,0OKVYEVFB55H0SC1
HIKING,5.698249110312082e-09,0OKVYEVFB55H0SC1
SWIM,1.3430390534149637e-09,0OKVYEVFB55H0SC1
NOT SPORTS SPECIFIC,0.9999999768196282,0Q1S8S9DATAYER76
HANDBALL,0.000152069803464048,0Q1S8S9DATAYER76
HIKING,7.84522259971687e-09,0Q1S8S9DATAYER76
SWIM,3.955567839143767e-09,0Q1S8S9DATAYER76
BASKETBALL,3.301686901615685e-09,0Q1S8S9DATAYER76
ORIGINALS,0.9999999963125484,0U40SP3KFU66UL4R
HANDBALL,6.040606899536069e-05,0U40SP3KFU66UL4R
BASKETBALL,6.279302918842444e-09,0U40SP3KFU66UL4R
HIKING,5.698249110312082e-09,0U40SP3KFU66UL4R
SWIM,1.3430390534149637e-09,0U40SP3KFU66UL4R
NOT SPORTS SPECIFIC,0.9999999768196282,0Y5DUOQ5M1O1LNZJ
HANDBALL,0.000152069803464048,0Y5DUOQ5M1O1LNZJ
HIKING,7.84522259971687e-09,0Y5DUOQ5M1O1LNZJ
SWIM,3.955567839143767e-09,0Y5DUOQ5M1O1LNZJ
BASKETBALL,3.301686901615685e-09,0Y5DUOQ5M1O1LNZJ
ORIGINALS,0.9999999963125484,11NBVXCAW1KBETF7
HANDBALL,6.040606899536069e-05,11NBVXCAW1KBETF7
BASKETBALL,6.279302918842444e-09,11NBVXCAW1KBETF7
HIKING,5.698249110312082e-09,11NBVXCAW1KBETF7
SWIM,1.3430390534149637e-09,11NBVXCAW1KBETF7
RUNNING,0.9999999687644883,16AMTBJ8EM4Q8U7J
OLYMPIC SPORTS,0.00017663153211532035,16AMTBJ8EM4Q8U7J
HIKING,5.711352629832396e-09,16AMTBJ8EM4Q8U7J
BASKETBALL,2.373699306008664e-09,16AMTBJ8EM4Q8U7J
SWIM,1.0401679041198385e-09,16AMTBJ8EM4Q8U7J
NOT SPORTS SPECIFIC,0.9999999768196282,1A9GUMJFQWHBSRC1
HANDBALL,0.000152069803464048,1A9GUMJFQWHBSRC1
HIKING,7.84522259971687e-09,1A9GUMJFQWHBSRC1
SWIM,3.955567839143767e-09,1A9GUMJFQWHBSRC1
BASKETBALL,3.301686901615685e-09,1A9GUMJFQWHBSRC1
TRAINING,0.9999999621579262,1I8E86NSO81IEKRX
CLIMB,0.0001943689925569336,1I8E86NSO81IEKRX
SPORT STYLE,5.8709663395453355e-09,1I8E86NSO81IEKRX
OUTDOOR,3.08089909819533e-09,1I8E86NSO81IEKRX
SWIM,2.3415700195665643e-09,1I8E86NSO81IEKRX
ORIGINALS,0.9999999963125484,1J0VW3PH8GLD7H3X
HANDBALL,6.040606899536069e-05,1J0VW3PH8GLD7H3X
BASKETBALL,6.279302918842444e-09,1J0VW3PH8GLD7H3X
HIKING,5.698249110312082e-09,1J0VW3PH8GLD7H3X
SWIM,1.3430390534149637e-09,1J0VW3PH8GLD7H3X
FOOTBALL/SOCCER,0.9999999669522595,2370IAKCW8N966CU
HANDBALL,0.00018173536718360926,2370IAKCW8N966CU
HIKING,6.433882471626821e-09,2370IAKCW8N966CU
CYCLING,2.8828173998641192e-09,2370IAKCW8N966CU
SWIM,2.8229095701321083e-09,2370IAKCW8N966CU
RUNNING,0.9999999687644883,2NGFOKW723I10KWS
OLYMPIC SPORTS,0.00017663153211532035,2NGFOKW723I10KWS
HIKING,5.711352629832396e-09,2NGFOKW723I10KWS
BASKETBALL,2.373699306008664e-09,2NGFOKW723I10KWS
SWIM,1.0401679041198385e-09,2NGFOKW723I10KWS
NOT SPORTS SPECIFIC,0.9999999768196282,2NO5IJKEOE9FCWYR
HANDBALL,0.000152069803464048,2NO5IJKEOE9FCWYR
HIKING,7.84522259971687e-09,2NO5IJKEOE9FCWYR
SWIM,3.955567839143767e-09,2NO5IJKEOE9FCWYR
BASKETBALL,3.301686901615685e-09,2NO5IJKEOE9FCWYR
TRAINING,0.9999999621579262,33P9DVAY0480EC6F
CLIMB,0.0001943689925569336,33P9DVAY0480EC6F
SPORT STYLE,5.8709663395453355e-09,33P9DVAY0480EC6F
OUTDOOR,3.08089909819533e-09,33P9DVAY0480EC6F
SWIM,2.3415700195665643e-09,33P9DVAY0480EC6F
TRAINING,0.9999999621579262,36BFKOI3OGQPV5TC
CLIMB,0.0001943689925569336,36BFKOI3OGQPV5TC
SPORT STYLE,5.8709663395453355e-09,36BFKOI3OGQPV5TC
OUTDOOR,3.08089909819533e-09,36BFKOI3OGQPV5TC
SWIM,2.3415700195665643e-09,36BFKOI3OGQPV5TC
FOOTBALL/SOCCER,0.9999999669522595,3NAWGG86C2QV26IO
HANDBALL,0.00018173536718360926,3NAWGG86C2QV26IO
HIKING,6.433882471626821e-09,3NAWGG86C2QV26IO
CYCLING,2.8828173998641192e-09,3NAWGG86C2QV26IO
SWIM,2.8229095701321083e-09,3NAWGG86C2QV26IO
RUNNING,0.9999999687644883,3XXCG62NIU6WRKBI
OLYMPIC SPORTS,0.00017663153211532035,3XXCG62NIU6WRKBI
HIKING,5.711352629832396e-09,3XXCG62NIU6WRKBI
BASKETBALL,2.373699306008664e-09,3XXCG62NIU6WRKBI
SWIM,1.0401679041198385e-09,3XXCG62NIU6WRKBI
NOT SPORTS SPECIFIC,0.9999999768196282,3ZRHJ7FZ4PCA8FSC
HANDBALL,0.000152069803464048,3ZRHJ7FZ4PCA8FSC
HIKING,7.84522259971687e-09,3ZRHJ7FZ4PCA8FSC
SWIM,3.955567839143767e-09,3ZRHJ7FZ4PCA8FSC
BASKETBALL,3.301686901615685e-09,3ZRHJ7FZ4PCA8FSC
ORIGINALS,0.9999999963125484,45XBGDYQ1VD61ISJ
HANDBALL,6.040606899536069e-05,45XBGDYQ1VD61ISJ
BASKETBALL,6.279302918842444e-09,45XBGDYQ1VD61ISJ
